PassengerId,Survived,Pclass,Age,Fare,Sex_male,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_None,Cabin_T,FamilyMembers
1,0,0,22.0,2.1102132003465894,1,0,1,0,0,0,0,0,0,1,0,1
2,1,2,38.0,4.2805931204649,0,0,0,0,1,0,0,0,0,0,0,1
3,1,0,26.0,2.188856327665703,0,0,1,0,0,0,0,0,0,1,0,0
4,1,2,35.0,3.9908341858524357,0,0,1,0,1,0,0,0,0,0,0,1
5,0,0,35.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
6,0,0,28.0,2.246892662898172,1,1,0,0,0,0,0,0,0,1,0,0
7,0,2,54.0,3.967694202798607,1,0,1,0,0,0,1,0,0,0,0,0
8,0,0,2.0,3.0944457464900235,1,0,1,0,0,0,0,0,0,1,0,4
9,1,0,27.0,2.495953738718064,0,0,1,0,0,0,0,0,0,1,0,2
10,1,1,14.0,3.436268471383741,0,0,0,0,0,0,0,0,0,1,0,1
11,1,0,4.0,2.8735646395797834,0,0,1,0,0,0,0,0,1,0,0,2
12,1,2,58.0,3.3160025355989236,0,0,1,0,1,0,0,0,0,0,0,0
13,0,0,20.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
14,0,0,39.0,3.4742929367327062,1,0,1,0,0,0,0,0,0,1,0,6
15,0,0,14.0,2.180891922715322,0,0,1,0,0,0,0,0,0,1,0,0
16,1,1,55.0,2.833213344056216,0,0,1,0,0,0,0,0,0,1,0,0
17,0,0,2.0,3.405355391810819,1,1,0,0,0,0,0,0,0,1,0,5
18,1,1,28.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
19,0,0,31.0,2.9444389791664403,0,0,1,0,0,0,0,0,0,1,0,1
20,1,0,28.0,2.1071782966514356,0,0,0,0,0,0,0,0,0,1,0,0
21,0,1,35.0,3.295836866004329,1,0,1,0,0,0,0,0,0,1,0,0
22,1,1,34.0,2.6390573296152584,1,0,1,0,0,1,0,0,0,0,0,0
23,1,0,15.0,2.2004637699272855,0,1,0,0,0,0,0,0,0,1,0,0
24,1,2,28.0,3.597312260588446,1,0,1,0,0,0,0,0,0,0,0,0
25,0,0,8.0,3.0944457464900235,0,0,1,0,0,0,0,0,0,1,0,4
26,1,0,38.0,3.4777725458882283,0,0,1,0,0,0,0,0,0,1,0,6
27,0,0,28.0,2.1071782966514356,1,0,0,0,0,0,0,0,0,1,0,0
28,0,2,19.0,5.575949103146316,1,0,1,0,1,0,0,0,0,0,0,5
29,1,0,28.0,2.1837114628556327,0,1,0,0,0,0,0,0,0,1,0,0
30,0,0,28.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
31,0,2,40.0,3.357621598945279,1,0,0,0,0,0,0,0,0,1,0,0
32,1,2,28.0,4.993969182787072,0,0,0,1,0,0,0,0,0,0,0,1
33,1,0,28.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
34,0,1,66.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
35,0,2,28.0,4.420896324687287,1,0,0,0,0,0,0,0,0,1,0,1
36,0,2,42.0,3.970291913552122,1,0,1,0,0,0,0,0,0,1,0,1
37,1,0,28.0,2.1076888046179385,1,0,0,0,0,0,0,0,0,1,0,0
38,0,0,21.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
39,0,0,18.0,2.9444389791664403,0,0,1,0,0,0,0,0,0,1,0,2
40,1,0,14.0,2.5048481563289,0,0,0,0,0,0,0,0,0,1,0,1
41,0,0,40.0,2.348991465808201,0,0,1,0,0,0,0,0,0,1,0,1
42,0,1,27.0,3.091042453358316,0,0,1,0,0,0,0,0,0,1,0,1
43,0,0,28.0,2.1855792552411137,1,0,0,0,0,0,0,0,0,1,0,0
